customer_id,age,gender,tenure_months,monthly_spend_gbp,num_rentals_12m,digital_engagement_score,pricing_satisfaction,service_satisfaction,nps_score,loyalty_member,complaints_last_6m,region,churned
EM-00001,29,Female,9,124.73,4,0.166,4,9,77,1,1,South West,0
EM-00002,62,Female,11,72.29,7,0.088,3,3,-20,1,1,London,0
EM-00003,46,Female,34,92.03,4,0.54,7,3,76,0,1,North West,0
EM-00004,39,Female,7,69.48,9,0.297,7,2,92,0,1,South East,0
EM-00005,22,Male,36,27.77,6,0.056,4,3,90,0,0,South East,0
EM-00006,22,Male,1,43.36,6,0.247,7,6,-74,1,1,London,0
EM-00007,19,Female,26,93.33,2,0.164,4,10,-1,0,0,Midlands,1
EM-00008,55,Male,33,72.48,7,0.382,9,4,-66,0,0,South East,0
EM-00009,39,Female,3,120.36,8,0.001,3,2,-63,0,0,East Anglia,1
EM-00010,44,Female,10,81.58,5,0.189,10,8,-63,1,1,North East,0
EM-00011,18,Male,3,41.13,7,0.108,2,1,-59,1,0,South East,1
EM-00012,63,Female,22,44.79,6,0.225,5,10,69,0,1,South East,0
EM-00013,52,Male,13,70.21,6,0.36,9,8,76,1,0,North East,0
EM-00014,23,Male,18,20.97,9,0.403,3,2,-44,1,1,South East,1
EM-00015,22,Female,3,153.96,1,0.348,1,9,-1,0,1,South West,1
EM-00016,22,Female,4,83.17,9,0.144,9,4,-47,1,0,London,1
EM-00017,26,Male,1,123.16,1,0.119,5,4,37,0,0,South East,1
EM-00018,35,Male,6,30.26,6,0.125,2,7,87,1,0,London,0
EM-00019,31,Female,14,124.25,5,0.203,6,3,-61,1,0,South West,0
EM-00020,25,Female,35,203.52,5,0.044,3,10,28,1,0,Wales,0
EM-00021,39,Female,19,34.45,10,0.075,9,3,19,0,1,London,0
EM-00022,21,Male,10,98.07,3,0.022,3,4,-15,1,2,South West,0
EM-00023,25,Male,55,66.72,4,0.071,2,10,-37,1,0,South East,0
EM-00024,28,Male,22,30.81,6,0.136,3,3,-20,1,0,South West,0
EM-00025,32,Female,47,85.32,10,0.153,6,10,-89,1,0,North East,0
EM-00026,49,Male,13,101.17,8,0.05,3,8,84,0,0,South West,0
EM-00027,23,Male,5,49.37,7,0.303,9,9,-12,0,2,North West,0
EM-00028,34,Female,1,119.46,4,0.4,9,5,-75,1,1,East Anglia,0
EM-00029,38,Male,23,28.98,6,0.527,9,3,-61,0,1,North West,0
EM-00030,19,Other,2,31.58,6,0.439,2,7,9,0,0,South East,0
EM-00031,39,Female,6,71.4,5,0.173,7,3,12,1,0,South West,0
EM-00032,22,Female,13,67.54,4,0.423,2,6,-58,0,1,North West,0
EM-00033,19,Male,14,46.61,4,0.303,1,4,-29,1,1,North West,0
EM-00034,61,Male,16,99.96,5,0.337,5,7,40,1,1,South West,0
EM-00035,63,Female,3,86.96,7,0.161,8,6,-11,1,2,North East,0
EM-00036,50,Female,8,102.42,5,0.101,3,7,83,1,0,Midlands,0
EM-00037,26,Female,17,62.7,6,0.211,7,4,-84,1,1,East Anglia,1
EM-00038,20,Male,63,90.13,8,0.083,6,6,-13,1,2,Wales,0
EM-00039,43,Female,23,53.37,5,0.347,1,10,-77,0,1,Scotland,0
EM-00040,31,Female,46,186.22,4,0.227,7,7,-25,1,0,London,0
EM-00041,21,Female,25,44.42,6,0.253,3,10,-43,1,2,South West,0
EM-00042,33,Female,16,191.07,7,0.524,4,8,88,1,1,Midlands,0
EM-00043,18,Female,3,67.86,7,0.105,10,10,55,0,1,Midlands,1
EM-00044,58,Female,19,33.52,8,0.033,2,9,94,0,0,North East,0
EM-00045,24,Male,17,132.16,9,0.337,1,3,-4,1,1,Wales,0
EM-00046,42,Male,16,71.02,1,0.204,5,5,-50,1,0,North East,0
EM-00047,26,Male,12,102.06,12,0.292,6,10,-13,1,2,South East,0
EM-00048,34,Male,13,122.97,3,0.405,2,3,-9,1,1,Midlands,0
EM-00049,36,Male,7,78.96,13,0.706,10,5,10,0,1,South West,0
EM-00050,22,Male,13,49.59,7,0.472,6,2,66,0,1,North East,0
EM-00051,63,Male,3,108.62,3,0.231,6,3,93,1,0,Wales,0
EM-00052,48,Male,29,66.71,0,0.131,8,7,0,0,0,South East,0
EM-00053,61,Female,3,93.97,12,0.301,8,8,67,0,2,Midlands,0
EM-00054,57,Female,1,22.72,4,0.136,6,5,-88,1,1,North East,1
EM-00055,39,Male,10,83.39,2,0.35,7,3,46,1,2,London,0
EM-00056,59,Female,19,48.46,8,0.608,4,4,-95,0,3,East Anglia,0
EM-00057,20,Female,10,152.42,3,0.76,5,3,45,1,2,Scotland,0
EM-00058,23,Male,5,91.06,4,0.322,6,3,-92,1,2,Midlands,0
EM-00059,19,Male,14,75.18,4,0.176,6,9,-20,1,0,North East,0
EM-00060,27,Male,7,85.04,6,0.276,3,4,-33,1,1,Scotland,0
EM-00061,29,Female,48,40.48,9,0.253,9,6,-47,1,1,Midlands,0
EM-00062,25,Female,46,150.15,10,0.093,4,3,25,1,0,South West,0
EM-00063,52,Male,12,180.49,7,0.3,8,8,-51,0,2,Scotland,0
EM-00064,28,Male,7,81.16,6,0.164,4,4,-31,1,2,Scotland,1
EM-00065,25,Male,24,147.7,5,0.235,6,8,38,0,0,London,0
EM-00066,36,Male,1,50.17,10,0.323,1,2,82,0,1,Wales,0
EM-00067,21,Male,11,44.77,8,0.57,2,9,17,0,0,South East,0
EM-00068,50,Male,7,68.06,5,0.542,6,2,69,0,2,North West,0
EM-00069,20,Female,45,82.89,8,0.179,3,3,-11,1,0,North West,0
EM-00070,64,Female,1,54.76,6,0.362,7,3,38,0,1,South East,0
EM-00071,48,Male,14,87.26,8,0.511,1,5,-29,0,1,South East,0
EM-00072,23,Female,24,77.73,8,0.165,3,3,-34,0,2,North West,0
EM-00073,18,Male,11,40.48,6,0.337,3,8,29,0,1,London,0
EM-00074,51,Male,1,86.44,5,0.165,1,10,93,0,0,Scotland,0
EM-00075,44,Male,64,102.7,10,0.291,4,7,-75,0,1,South East,0
EM-00076,46,Female,13,72.66,4,0.329,8,1,-25,1,0,South East,0
EM-00077,48,Female,17,118.67,6,0.486,7,6,-64,0,2,South East,0
EM-00078,19,Female,4,36.28,10,0.575,7,2,-65,1,2,South East,0
EM-00079,28,Male,11,84.27,6,0.508,5,8,-85,1,1,East Anglia,0
EM-00080,21,Female,10,37.15,5,0.481,4,10,-23,0,0,South East,0
EM-00081,54,Male,1,38.2,11,0.259,10,8,-35,0,1,Midlands,0
EM-00082,40,Female,2,48.64,6,0.124,6,7,-80,1,2,North East,0
EM-00083,27,Male,32,41.64,7,0.062,2,8,34,1,0,London,0
EM-00084,19,Male,4,50.7,4,0.484,1,1,38,1,1,Wales,1
EM-00085,26,Female,3,59.91,6,0.485,7,8,83,0,1,London,0
EM-00086,27,Female,12,101.35,8,0.263,4,1,71,0,1,Midlands,0
EM-00087,46,Male,26,56.79,2,0.542,7,3,-47,0,0,North West,0
EM-00088,41,Female,1,30.18,5,0.248,6,4,-8,1,0,North West,0
EM-00089,56,Male,15,117.92,2,0.36,9,3,84,1,0,North East,0
EM-00090,33,Female,2,43.88,4,0.59,10,2,-43,1,1,East Anglia,0
EM-00091,21,Female,1,64.76,8,0.048,6,3,-64,1,1,Wales,1
EM-00092,45,Female,1,83.37,6,0.291,3,9,19,1,2,Midlands,0
EM-00093,47,Female,32,73.69,3,0.389,7,2,75,0,1,South West,0
EM-00094,37,Female,2,115.25,6,0.116,9,5,89,0,3,South East,1
EM-00095,48,Male,1,84.73,5,0.379,10,3,-62,1,1,Wales,0
EM-00096,33,Female,10,43.35,8,0.131,6,9,91,1,0,Scotland,0
EM-00097,35,Male,33,198.2,4,0.354,7,7,3,1,0,South East,0
EM-00098,31,Male,5,73.49,11,0.289,8,10,-33,0,2,London,0
EM-00099,18,Male,9,61.95,9,0.492,4,3,-33,1,2,Scotland,0
EM-00100,20,Male,1,107.98,7,0.135,5,2,54,1,1,North West,1
EM-00101,18,Female,10,75.54,4,0.188,4,2,97,1,0,South East,1
EM-00102,41,Male,15,81.42,8,0.446,1,5,3,1,0,North West,0
EM-00103,26,Female,15,231.85,8,0.136,6,9,-41,0,3,London,0
EM-00104,34,Male,7,58.12,3,0.296,7,2,71,1,1,London,0
EM-00105,58,Male,6,56.89,9,0.364,2,2,57,1,0,Midlands,0
EM-00106,24,Male,2,70.69,4,0.284,6,8,85,1,0,Midlands,0
EM-00107,30,Male,8,113.95,11,0.425,2,3,25,0,1,South East,1
EM-00108,47,Male,1,31.4,7,0.515,10,3,22,1,2,East Anglia,0
EM-00109,24,Female,26,24.96,3,0.369,5,6,-65,1,2,South West,1
EM-00110,20,Male,61,49.72,7,0.108,1,6,32,0,1,North West,0
EM-00111,25,Female,63,29.46,4,0.198,3,6,23,0,1,South East,0
EM-00112,22,Male,36,53.92,4,0.184,4,5,46,1,1,South West,0
EM-00113,60,Male,16,85.73,7,0.392,4,4,39,1,1,Scotland,0
EM-00114,50,Female,21,42.72,7,0.18,2,9,-11,1,1,Scotland,1
EM-00115,40,Male,6,32.67,9,0.035,8,4,87,0,2,London,1
EM-00116,55,Male,17,69.04,10,0.547,6,1,-18,0,0,South East,0
EM-00117,50,Male,10,102.64,4,0.113,9,8,38,1,0,London,0
EM-00118,23,Male,11,28.57,8,0.227,6,8,-48,0,0,Wales,0
EM-00119,57,Female,25,100.5,4,0.367,3,3,-81,0,2,North East,0
EM-00120,35,Male,5,100.35,7,0.228,2,9,-28,0,1,Midlands,1
EM-00121,50,Female,6,107.45,10,0.236,9,7,-17,0,0,North West,0
EM-00122,57,Female,46,122.64,12,0.792,3,7,-74,1,1,Wales,0
EM-00123,26,Male,1,200.54,7,0.195,6,5,-43,1,0,South East,0
EM-00124,20,Female,11,55.81,5,0.546,10,3,22,1,0,London,0
EM-00125,24,Male,43,70.44,7,0.194,2,10,32,1,1,London,0
EM-00126,31,Female,16,54.15,6,0.482,7,5,-27,1,0,London,0
EM-00127,51,Male,14,66.75,9,0.095,1,3,36,0,2,London,0
EM-00128,54,Female,5,143.51,9,0.129,9,3,-24,1,0,Midlands,0
EM-00129,18,Male,7,34.04,4,0.461,1,1,24,1,0,East Anglia,0
EM-00130,34,Male,34,43.36,4,0.2,9,4,24,0,0,South West,0
EM-00131,30,Female,14,132.77,4,0.697,1,9,-69,0,1,North East,0
EM-00132,23,Female,13,111.05,2,0.312,1,6,99,1,1,Scotland,0
EM-00133,21,Male,1,55.61,10,0.34,8,6,81,0,0,Scotland,0
EM-00134,27,Male,1,102.23,8,0.198,1,6,72,1,1,South West,1
EM-00135,61,Female,59,79.09,2,0.097,8,5,-74,1,0,Midlands,0
EM-00136,27,Female,8,141.19,4,0.229,3,2,55,1,1,South East,0
EM-00137,34,Female,16,69.22,14,0.04,4,5,-83,1,0,North West,0
EM-00138,44,Female,1,111.37,2,0.415,2,10,-14,1,3,South West,0
EM-00139,28,Female,20,249.89,3,0.168,6,3,4,0,1,South East,0
EM-00140,63,Female,48,89.93,5,0.308,7,10,58,0,0,North West,0
EM-00141,62,Male,15,68.35,6,0.362,10,2,-60,1,0,South East,0
EM-00142,24,Male,2,95.7,10,0.171,3,4,-67,1,2,South West,1
EM-00143,34,Female,15,55.55,3,0.32,9,10,-94,1,1,North East,0
EM-00144,26,Female,26,220.08,7,0.222,3,9,-96,0,3,Scotland,1
EM-00145,25,Male,9,72.97,4,0.206,7,7,-80,1,2,South West,0
EM-00146,18,Male,38,58.18,6,0.3,4,10,33,1,0,Midlands,0
EM-00147,39,Female,18,43.91,5,0.198,5,9,72,1,0,North East,0
EM-00148,34,Male,41,115.42,8,0.583,9,3,19,1,1,South East,0
EM-00149,19,Male,17,102.88,6,0.088,3,2,62,0,2,South West,1
EM-00150,25,Male,2,52.0,1,0.253,3,9,5,1,1,Scotland,0
EM-00151,58,Male,6,88.96,5,0.104,9,6,-14,1,2,Wales,0
EM-00152,24,Male,4,31.37,9,0.694,9,10,30,0,1,North West,0
EM-00153,21,Male,43,73.15,4,0.546,4,4,60,0,0,South West,0
EM-00154,33,Male,25,83.63,1,0.517,1,4,-63,0,2,North West,0
EM-00155,64,Female,20,156.6,4,0.021,1,10,-14,0,1,London,1
EM-00156,24,Male,6,45.36,8,0.342,9,10,-21,0,0,London,0
EM-00157,43,Female,3,35.19,6,0.24,6,6,12,0,2,London,0
EM-00158,47,Female,25,42.62,6,0.461,5,7,43,1,0,London,0
EM-00159,24,Male,11,34.18,6,0.266,10,10,-12,0,0,South East,0
EM-00160,46,Female,4,130.1,2,0.218,3,5,5,1,0,Midlands,0
EM-00161,28,Male,17,144.65,5,0.369,3,8,-30,1,0,South East,0
EM-00162,40,Female,1,78.27,10,0.406,2,10,-93,0,0,Midlands,0
EM-00163,40,Male,7,122.81,3,0.267,7,1,30,1,2,East Anglia,1
EM-00164,35,Female,11,71.31,8,0.419,9,1,-32,1,2,Midlands,0
EM-00165,20,Female,2,63.59,1,0.244,6,4,27,0,2,North East,1
EM-00166,52,Male,75,56.46,9,0.346,10,8,-82,1,2,South East,0
EM-00167,26,Male,4,57.1,10,0.674,1,8,34,1,0,East Anglia,0
